Time Stamp,User,Compound,Positive,Neutral,Negative,Tweet,Tweet_Ago
3/27/2019,@Boeing,0,0,1,0,"RT @BoeingAirplanes: We hosted more than 200 airline pilots, technical leaders and government regulators today to demonstrate the proposed…",0
3/26/2019,@Boeing,0.875,0.333,0.667,0,"RT @BoeingCEO: Our Boeing team is proud to stand with our customers and partners in embracing the highest standards of safety, excellence a…",1
3/19/2019,@Boeing,0,0,1,0,We will fully cooperate in the Department of Transportation's audit announced by Secretary Chao. https://t.co/mFB4be4pkw,2
3/19/2019,@Boeing,0.8519,0.307,0.693,0,"RT @BoeingCEO: Lives depend on the work we do, and that demands the utmost integrity and excellence from our team. Here's our commitment to…",3
3/17/2019,@Boeing,0,0,1,0,"Boeing Chairman, President and CEO Dennis Muilenburg issued the 
following statement regarding the Ethiopian Transp… https://t.co/PSrdLKTpGf",4
3/13/2019,@Boeing,0.3612,0.122,0.878,0,"In Consultation with the FAA, NTSB and its Customers, Boeing Supports Action to Temporarily Ground 737 MAX Operatio… https://t.co/8Jvi2yv2or",5
3/12/2019,@Boeing,0,0,1,0,Boeing Statement on 737 MAX Operation: https://t.co/EL058Iarsg https://t.co/lGQI5zJBfP,6
3/10/2019,@Boeing,0,0,1,0,RT @BoeingAirplanes: Updated Statement on Ethiopian Airlines Flight 302: https://t.co/0jyiFuGHIE https://t.co/Unl92SYykI,7
3/8/2019,@Boeing,0.4019,0.137,0.863,0,We’re partnering with @FIRSTweets to support girls in #STEM. Follow the journey of our all-female team through… https://t.co/yz6osBJdMx,8
3/7/2019,@Boeing,0.765,0.32,0.68,0,"On this #InternationalWomensDay, we celebrate all our female employees who make us better and stronger.… https://t.co/NuaxzaxnLJ",9
3/7/2019,@Boeing,0.1759,0.091,0.909,0,We are cleared for takeoff! #Boeing donates $3 million to fund pilot training and aviation maintenance programs… https://t.co/4dcIiTaP4G,10
3/6/2019,@Boeing,0.296,0.099,0.901,0,RT @PurdueAeroAstro: Join us #LIVE as we hear from @BoeingCEO Dennis Muilenburg in his #PurdueAAE #Boeing Distinguished Lecture talk abo… h…,11
3/6/2019,@Boeing,0.8176,0.347,0.653,0,RT @archivesfdn: We’re pleased to announce a generous investment from @Boeing to sponsor the annual display of the original #EmancipationPr…,12
3/6/2019,@Boeing,0.2732,0.162,0.838,0,Taking our @ForeFlight partnership to the next level expands our digital solutions for customers across the aviatio… https://t.co/1KA3SCoBcV,13
3/6/2019,@Boeing,0.4767,0.162,0.838,0,RT @BoeingCEO: #Boeing is joining the #CatalystForChange initiative because #WomenMakeUsBetter. We’re proud to partner with fellow @Catalys…,14
2/28/2019,@Boeing,0,0,1,0,We’ve named Anne Toulouse as the permanent #Boeing senior vice president of Communications to lead the company’s gl… https://t.co/x7OJ8t9eEA,15
2/26/2019,@Boeing,0.4767,0.256,0.744,0,"#Boeing - @Embraer partnership receives shareholder approval.
Learn More: https://t.co/RAOytwT59r https://t.co/JWFhnWVJML",16
2/24/2019,@Boeing,0.1298,0.174,0.703,0.124,RT @BoeingAirplanes: Boeing is deeply saddened to learn of the passing of the crew of Atlas Air 3591. We extend our heartfelt sympathies to…,17
2/23/2019,@Boeing,-0.1179,0.112,0.761,0.128,"RT @BoeingAirplanes: We are deeply saddened to learn of the Atlas Air 767 freighter that crashed near Anahuac, TX, earlier today. We are co…",18
2/22/2019,@Boeing,0.6597,0.231,0.769,0,"RT @BoeingCEO: To cap off #eweek2019, I want to recognize our incredible #Boeing technical community. They turn great ideas into innovation…",19
2/20/2019,@Boeing,0.1984,0.138,0.759,0.103,"RT @BoeingSpace: Ready for liftoff! 
#Starliner completed the first of three critical environmental tests! Our team replicated the vibratio…",20
2/20/2019,@Boeing,0,0,1,0,RT @GAManufacturers: Today is the day! We will announce the 2018 year-end global aircraft shipment and billing numbers at 1 p.m. ET. Watch…,21
2/20/2019,@Boeing,0.7351,0.246,0.754,0,"RT @BoeingCareers: Lauren grew up around engines and workshops. In fact, they inspired her passion for engineering. Today, she’s an Industr…",22
